cat,name,ra,dec,size,bri
IC,3218,12h22m12s,+06d55m00s,0.6,1
IC,3222,12h22m18s,+28d50m00s,1.1,1
IC,3238,12h23m06s,+14d25m00s,0.6,1
IC,3244,12h23m12s,+14d23m00s,0.7,2
IC,3247,12h23m18s,+28d53m00s,2.4,1
IC,3253,12h23m42s,-34d38m00s,3.3,2
IC,3256,12h23m42s,+07d03m00s,1.4,1
IC,3258,12h23m42s,+12d28m00s,1.9,1
IC,3259,12h23m48s,+07d11m00s,1.8,1
IC,3260,12h23m54s,+07d07m00s,1.9,1
IC,3263,12h23m48s,+28d12m00s,0.6,1
IC,3267,12h24m06s,+07d03m00s,1.1,1
IC,3268,12h24m06s,+06d36m00s,0.7,1
IC,3271,12h24m12s,+07d57m00s,1.1,1
IC,3274,12h24m18s,+09d17m00s,1.4,1
IC,3280,12h24m24s,+13d14m00s,0.7,1
IC,3289,12h25m00s,-26d02m00s,0.8,1
IC,3290,12h25m12s,-39d47m00s,1.6,2
IC,3300,12h25m00s,+25d57m00s,1.1,1
IC,3303,12h25m12s,+12d43m00s,1.4,2
IC,3305,12h25m12s,+11d50m00s,1.1,1
IC,3308,12h25m18s,+26d42m00s,1.5,1
IC,3309,12h25m24s,+28d23m00s,1.4,1
IC,3311,12h25m30s,+12d15m00s,2.1,1
IC,3322,12h25m54s,+07d33m00s,2.5,2
IC,3323,12h25m48s,+27d33m00s,3.1,1
IC,3328,12h25m54s,+10d03m00s,0.6,1
IC,3330,12h25m54s,+30d51m00s,1.4,2
IC,3331,12h26m00s,+11d48m00s,0.2,1
IC,3340,12h26m30s,+16d50m00s,0.7,1
IC,3344,12h26m30s,+13d34m00s,0.5,1
IC,3355,12h26m48s,+13d11m00s,1.3,2
IC,3356,12h26m48s,+11d34m00s,1.4,1
IC,3358,12h26m54s,+11d39m00s,1.2,1
IC,3365,12h27m06s,+15d54m00s,1.9,1
IC,3370,12h27m36s,-39d20m00s,2.8,2
IC,3371,12h27m18s,+10d52m00s,1.9,1
IC,3376,12h27m48s,+26d59m00s,1.8,1
IC,3381,12h28m18s,+11d47m00s,1.5,2
IC,3382,12h28m12s,+13d33m00s,1.0,1
IC,3383,12h28m12s,+10d17m00s,0.7,1
IC,3391,12h28m24s,+18d24m00s,1.1,1
IC,3392,12h28m42s,+15d00m00s,2.4,2
IC,3393,12h28m42s,+12d55m00s,1.4,2
IC,3394,12h28m48s,+26d47m00s,0.4,1
IC,3402,12h29m00s,+28d51m00s,1.0,1
IC,3406,12h29m06s,+27d38m00s,0.5,1
IC,3407,12h29m00s,+27d47m00s,1.2,1
IC,3409,12h29m24s,+14d46m00s,0.6,1
IC,3413,12h29m24s,+11d26m00s,1.6,2
IC,3414,12h29m24s,+06d46m00s,1.7,2
IC,3416,12h29m36s,+10d47m00s,0.1,1
IC,3418,12h29m42s,+11d24m00s,1.5,2
IC,3425,12h29m54s,+10d36m00s,1.9,1
IC,3430,12h30m12s,+09d04m00s,1.2,1
IC,3432,12h30m24s,+14d10m00s,0.6,1
